actor/backtrack_steps,actor/kl,actor/loss,critic/iterations,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
1.0,0.008200562,-0.04104606,80.0,0.5101775,86.80515,2.3548672,0.02387978,-2.8007123,5000,0.6006748,1000,1000.0,1000,5,0.0,921.2544462308288,889.9077656567097,858.6606932729483,5,20.53035304932738,2.8762722,0.035281844,-2.6049008,20000,0.61254805,1000,1000.0,1000,20,0.0,937.0682191848755,880.0071193480632,833.9154080450535,20,29.00871787287038,649.0,66.7143874168396,20000.0,31.0,2101.6458337306976,620000.0,299.7854102299939,620000.0
1.0,0.008229637,-0.051936895,80.0,0.4077071,90.11106,2.4746747,0.04061938,-2.6304188,5000,0.58889365,1000,1000.0,1000,5,0.0,926.4139315187931,883.7183176662772,825.0454345047474,5,38.34060557570887,2.3149357,0.025020998,-2.601148,20000,0.59521675,1000,1000.0,1000,20,0.0,941.7064551264048,897.1934491479769,855.7645283490419,20,23.362235639988928,669.0,66.70528364181519,20000.0,32.0,2168.399670124054,640000.0,299.82632421433414,640000.0
1.0,0.008000397,-0.05032877,80.0,0.5546001,89.57313,2.140398,0.05992685,-2.3675888,5000,0.5806219,1000,1000.0,1000,5,0.0,954.666089490056,900.8017703473568,874.743831038475,5,29.53474495755161,2.4497921,0.035034355,-2.6480975,20000,0.5880052,1000,1000.0,1000,20,0.0,960.6611606404185,895.9466430882458,809.4697896838188,20,39.76588347748682,689.0,66.76548933982849,20000.0,33.0,2235.214689016342,660000.0,299.5559561947094,660000.0
1.0,0.008337814,-0.047554333,80.0,0.460038,90.31543,2.1665542,0.072076105,-2.2234166,5000,0.56560767,1000,1000.0,1000,5,0.0,946.3757205829024,891.2510051272809,861.9076751321554,5,30.303910655241072,2.7418723,0.040265404,-2.5795212,20000,0.58592206,1000,1000.0,1000,20,0.0,979.0337577909231,904.4000662669539,847.4721432775259,20,35.71278480952985,709.0,67.23449373245239,20000.0,34.0,2302.498161792755,680000.0,297.4663582592949,680000.0
1.0,0.008070975,-0.047499105,80.0,0.4749446,88.80089,2.2454839,0.02092896,-2.5434446,5000,0.56423634,1000,1000.0,1000,5,0.0,966.1947549208999,932.3376623447984,897.0384754389524,5,26.749332813055094,2.3750796,0.026998486,-2.7197955,20000,0.57723665,1000,1000.0,1000,20,0.0,954.7801041603088,899.8856826566159,813.5880316570401,20,38.22288903209112,729.0,66.82961392402649,20000.0,35.0,2369.377031326294,700000.0,299.2685252190216,700000.0
1.0,0.008279059,-0.05077245,80.0,0.41617116,92.1308,2.3935819,0.061870094,-2.7408824,5000,0.5680701,1000,1000.0,1000,5,0.0,963.5061027705669,908.0004503801465,886.3731643930078,5,28.310389622153153,2.5477428,0.030817797,-2.4414322,20000,0.56851846,1000,1000.0,1000,20,0.0,972.4836864769459,917.1222025783733,845.9153511971235,20,32.54847614138569,749.0,66.80864596366882,20000.0,36.0,2436.2348577976227,720000.0,299.3624509449898,720000.0
1.0,0.008494546,-0.045460038,80.0,0.34160268,91.11044,2.1625068,0.051543396,-2.3389657,5000,0.5582711,1000,1000.0,1000,5,0.0,907.586038172245,888.1682728171348,863.0789947360754,5,15.509554439162011,2.3767948,0.0409949,-2.6809082,20000,0.54811394,1000,1000.0,1000,20,0.0,976.3361478298903,913.7462010890246,870.1644644588232,20,33.09937059251934,769.0,66.74871969223022,20000.0,37.0,2503.0325000286102,740000.0,299.6312152834906,740000.0
1.0,0.008594057,-0.047958527,80.0,0.52115136,94.03305,2.2046924,0.06860703,-2.3114767,5000,0.5408068,1000,1000.0,1000,5,0.0,971.0517205446959,918.246221292764,888.8007082082331,5,28.48893804919268,2.3417091,0.015323291,-2.7078185,20000,0.5398843,1000,1000.0,1000,20,0.0,980.3227344620973,936.2890448609367,884.3376009166241,20,33.571154227129995,789.0,67.59510278701782,20000.0,38.0,2570.678646326065,760000.0,295.8794228483836,760000.0
1.0,0.008615995,-0.057483744,80.0,0.5636731,93.82112,2.1363177,0.013248671,-2.4162183,5000,0.53539544,1000,1000.0,1000,5,0.0,990.2375253736973,940.4438977003098,840.3100328445435,5,55.767828665729695,2.3805208,0.024271887,-2.6125736,20000,0.5430203,1000,1000.0,1000,20,0.0,998.7160789072514,919.1051318834536,753.8685987740755,20,57.6069087901572,809.0,66.99271368980408,20000.0,39.0,2637.7215189933777,780000.0,298.53992917208683,780000.0
1.0,0.008631287,-0.0572324,80.0,0.59339356,91.864044,2.1589918,0.024997765,-2.246737,5000,0.5214478,1000,1000.0,1000,5,0.0,986.5425084233284,922.4847271520645,889.1088587529957,5,35.368618381150554,2.2167425,0.021384366,-2.8840427,20000,0.54390866,1000,1000.0,1000,20,0.0,983.8850680179894,922.4065761092119,857.1627227514982,20,36.533794657701634,829.0,67.39979839324951,20000.0,40.0,2705.208259820938,800000.0,296.73679264303433,800000.0
1.0,0.008679858,-0.068618506,80.0,0.27441067,91.94311,2.221725,0.049973078,-2.6838505,5000,0.55780894,1000,1000.0,1000,5,0.0,940.8629623949528,911.4340222284197,868.6604601666331,5,26.92237919252291,2.227447,0.038954653,-2.429548,20000,0.5180251,1000,1000.0,1000,20,0.0,969.0859825313091,921.2074365912006,883.3359240293503,20,24.92467122725121,849.0,66.68684649467468,20000.0,41.0,2771.945168495178,820000.0,299.90921825336443,820000.0
1.0,0.008619769,-0.054667998,80.0,0.5758432,94.05266,2.254896,0.02529205,-2.409164,5000,0.5169079,1000,1000.0,1000,5,0.0,983.9007338881493,948.5532249428331,918.8822523057461,5,26.600387117662407,2.125535,0.026288947,-2.539175,20000,0.5134865,1000,1000.0,1000,20,0.0,1025.222383826971,938.9660831723362,882.590853355825,20,35.18399582035139,869.0,66.75177311897278,20000.0,42.0,2838.7484884262085,840000.0,299.6175092510827,840000.0
1.0,0.008699731,-0.052991822,80.0,0.5822964,94.97903,2.272605,0.01935233,-2.3975809,5000,0.53389853,1000,1000.0,1000,5,0.0,976.5039673745632,949.0461841410026,908.3420861242339,5,24.508258276131762,2.1136298,0.021441972,-2.3516927,20000,0.5211718,1000,1000.0,1000,20,0.0,1001.6574549674988,938.5513892062008,881.2249306589365,20,37.3906812305507,889.0,66.47253823280334,20000.0,43.0,2905.275166749954,860000.0,300.8761291761574,860000.0
1.0,0.008679139,-0.059282463,80.0,0.7528983,94.0477,2.0200262,0.051500145,-2.0141497,5000,0.50563645,1000,1000.0,1000,5,0.0,972.3602727800608,939.0719169765711,907.3905166685581,5,26.537629592976142,2.364059,0.041728772,-2.2960672,20000,0.50866646,1000,1000.0,1000,20,0.0,1010.2771587818861,925.4729379354045,840.3805287778378,20,37.35523460816988,909.0,67.54823040962219,20000.0,44.0,2972.875215768814,880000.0,296.0847364722528,880000.0
1.0,0.008802505,-0.05492171,80.0,0.4168396,93.56422,2.0955598,0.061604854,-1.9684167,5000,0.50078726,1000,1000.0,1000,5,0.0,991.3300800025463,941.7678639426828,925.2177291512489,5,25.156000983739013,2.254513,0.047058113,-2.2499998,20000,0.49776715,1000,1000.0,1000,20,0.0,987.9428378641605,933.2433604884893,879.8404720723629,20,30.387794835312327,929.0,66.84262704849243,20000.0,45.0,3039.7667965888977,900000.0,299.21026271888695,900000.0
1.0,0.0088105425,-0.054894596,80.0,0.37275678,94.496315,2.130534,-0.014952899,-1.9661918,5000,0.48728922,1000,1000.0,1000,5,0.0,981.8911261558533,950.0774664849043,922.8693337216973,5,19.992392050570228,2.2517657,0.03407778,-2.376967,20000,0.49060002,1000,1000.0,1000,20,0.0,987.1265742406249,940.1198513936251,888.9622039198875,20,24.672089202675004,949.0,66.75064086914062,20000.0,46.0,3106.5683743953705,920000.0,299.62259147756237,920000.0
1.0,0.008764487,-0.050135933,80.0,0.33710656,94.646965,2.1398668,0.06899314,-2.2461767,5000,0.49162045,1000,1000.0,1000,5,0.0,995.0973842293024,934.4553758591413,882.2072151005268,5,36.327764523041104,2.2689998,0.036988206,-2.0515265,20000,0.48757187,1000,1000.0,1000,20,0.0,1006.4883828610182,947.84727181294,908.7181198000908,20,26.717421463967447,969.0,67.24845623970032,20000.0,47.0,3173.8674244880676,940000.0,297.4045966008799,940000.0
1.0,0.008845792,-0.057396583,80.0,0.3449755,94.6802,1.9135869,0.025684433,-1.9576147,5000,0.4736414,1000,1000.0,1000,5,0.0,1006.7152068912983,964.9542612731457,939.0127041935921,5,24.830909587905545,2.1982784,0.044194765,-2.3214655,20000,0.47829074,1000,1000.0,1000,20,0.0,1000.2769595980644,944.3753251175397,907.9606108814478,20,25.51331221093592,989.0,67.86081075668335,20000.0,48.0,3241.779175758362,960000.0,294.72091148027255,960000.0
1.0,0.008756621,-0.06755694,80.0,0.37903586,94.543076,1.9779265,0.06989506,-2.0500386,5000,0.4750387,1000,1000.0,1000,5,0.0,1011.6133320406079,957.4004791870714,920.3817705065012,5,29.82229808775857,2.2406573,0.057655104,-2.2626941,20000,0.47735536,1000,1000.0,1000,20,0.0,1001.0299082547426,949.3397819737904,894.7281713783741,20,26.20194515281764,1009.0,67.83939504623413,20000.0,49.0,3309.67213845253,980000.0,294.81394971711546,980000.0
1.0,0.008962991,-0.05624953,80.0,0.6536652,96.220345,1.9513065,0.018794551,-1.9314222,5000,0.46641713,1000,1000.0,1000,5,0.0,984.9377631917596,956.9619901847094,937.9684488978237,5,16.471332325715355,2.0453596,0.036436923,-2.3677769,20000,0.47306386,1000,1000.0,1000,20,0.0,1019.107074804604,957.7280231994577,908.5219468958676,20,27.942787518331517,1029.0,67.14966297149658,20000.0,50.0,3376.8718678951263,1000000.0,297.84215013096224,1000000.0
1.0,0.009011148,-0.053084303,80.0,0.6180548,97.18826,1.8464775,0.03842406,-1.9100494,5000,0.47122747,1000,1000.0,1000,5,0.0,1002.3357785008848,967.7520011745394,936.8125653713942,5,24.503692332931717,2.0809827,0.031350046,-2.3203807,20000,0.4751955,1000,1000.0,1000,20,0.0,1029.1321985721588,970.0081851251423,929.8402692973614,20,29.762571191481914,1049.0,68.51538228988647,20000.0,51.0,3445.437027454376,1020000.0,291.9052529748811,1020000.0
1.0,0.008997558,-0.051722657,80.0,0.3668495,95.33241,2.0041165,-0.009847462,-1.9314349,5000,0.4475334,1000,1000.0,1000,5,0.0,995.542959317565,934.9950505897402,861.7632437199354,5,45.45127554928925,2.079138,0.025557619,-2.0898776,20000,0.46441442,1000,1000.0,1000,20,0.0,1019.1830410510302,948.6275774277747,881.0296183824539,20,28.09684277922618,1069.0,67.09597301483154,20000.0,52.0,3512.5833060741425,1040000.0,298.0804823499468,1040000.0
1.0,0.009050523,-0.06296783,80.0,0.2345868,95.75824,1.8976432,-0.0056466484,-2.1616478,5000,0.4654813,1000,1000.0,1000,5,0.0,983.9358265250921,965.4113785415888,940.2610451281071,5,19.127757842251206,2.0708551,0.048407283,-2.2636395,20000,0.4549982,1000,1000.0,1000,20,0.0,1002.51589179039,955.8686408877372,924.9277456700802,20,23.074303107582857,1089.0,67.84627389907837,20000.0,53.0,3580.4795582294464,1060000.0,294.78405888214417,1060000.0
