actor/entropy,actor/kl,actor/loss,actor/std,critic/loss,critic/v,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action/max,train/action/mean,train/action/min,train/action/size,train/action/std,train/episode_length/max,train/episode_length/mean,train/episode_length/min,train/episode_length/size,train/episode_length/std,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/epochs,train/seconds,train/steps,train/steps_per_second,train/worker_steps
8.347908,1.0454096e-08,-0.050097585,0.6869885,2.542865,64.95461,3.289481,0.097344875,-3.2507381,5000,0.7378803,1000,1000.0,1000,5,0.0,666.1655448840465,623.2851916149724,574.4168322533369,5,29.34569979640561,3.4458807,0.08472385,-3.0650837,20000,0.7424993,1000,1000.0,1000,20,0.0,722.7032398171723,658.7317685043585,571.1139466241002,20,35.201318405617904,706.0,62.86753511428833,20000.0,31.0,1948.9676213264465,620000.0,318.12922144381105,620000.0
8.343821,-3.0500815e-09,-0.04981637,0.68663824,2.385602,64.8944,3.4133327,0.11009442,-3.0155632,5000,0.73685193,1000,1000.0,1000,5,0.0,689.5726874833927,643.58586722631,576.7068675383925,5,38.119383531227925,3.1577904,0.074370034,-2.9316943,20000,0.7403543,1000,1000.0,1000,20,0.0,740.7827931344509,657.9765111264278,573.4590279106051,20,44.95610967594205,726.0,62.82468891143799,20000.0,32.0,2011.8416163921356,640000.0,318.34618438291636,640000.0
8.339826,6.47502e-08,-0.05042106,0.6862966,2.196599,66.78751,3.0283773,0.07339353,-3.015287,5000,0.7364237,1000,1000.0,1000,5,0.0,685.9680181420408,658.3836646866869,644.3740103014279,5,14.7074550593304,3.5329149,0.07999256,-3.0574944,20000,0.74457854,1000,1000.0,1000,20,0.0,725.0658764988184,664.7404073425248,575.4206566393841,20,37.35911224142108,746.0,62.6335391998291,20000.0,33.0,2074.5254147052765,660000.0,319.31773703847426,660000.0
8.3355465,1.4482066e-08,-0.044805795,0.68593043,1.874382,64.897835,3.2045946,0.10129985,-3.0910244,5000,0.74452615,1000,1000.0,1000,5,0.0,711.9140692045912,664.5471694843843,599.2801810726523,5,36.908933174174024,3.2101579,0.091546014,-3.3574853,20000,0.7482801,1000,1000.0,1000,20,0.0,717.1485632881522,653.7070286586415,592.5414917692542,20,27.586363309747792,766.0,63.29883098602295,20000.0,34.0,2137.873874902725,680000.0,315.9616013195601,680000.0
8.33172,-1.4930265e-08,-0.034663584,0.6856028,2.0748532,66.27088,3.0933661,0.08136222,-2.989731,5000,0.7342306,1000,1000.0,1000,5,0.0,703.0224132947624,661.7796300050337,594.30471088388,5,36.772378069058085,3.5609572,0.079318754,-2.975411,20000,0.74326605,1000,1000.0,1000,20,0.0,714.3321621175855,665.1306914080167,610.1053103245795,20,28.727920759193548,786.0,62.546061754226685,20000.0,35.0,2200.469854593277,700000.0,319.76433749881073,700000.0
8.328276,1.8067658e-08,-0.06343193,0.68530834,1.8728961,67.9111,2.999919,0.06733766,-3.0475502,5000,0.740177,1000,1000.0,1000,5,0.0,719.8213476156816,678.6895710125566,627.5170013317838,5,35.40668992854722,3.651105,0.07347669,-3.1658757,20000,0.748341,1000,966.4,328,20,146.45900450296665,722.9579740762711,657.7448644911638,197.91959227621555,20,108.2741048905255,806.0,62.4607994556427,20000.0,36.0,2262.979849100113,720000.0,320.2008327511601,720000.0
8.324271,-5.820766e-10,-0.04264211,0.6849662,2.1155202,67.947815,3.0723953,0.10354265,-2.8597293,5000,0.757534,1000,1000.0,1000,5,0.0,701.0030586719513,684.2461124680937,652.0675074420869,5,17.200686646380763,3.3083642,0.0812821,-3.210895,20000,0.74497736,1000,1000.0,1000,20,0.0,772.6910400810011,683.6040257959845,615.1095576733351,20,44.75217905652477,826.0,62.508161783218384,20000.0,37.0,2325.537328720093,740000.0,319.958217126286,740000.0
8.320088,3.678724e-08,-0.04936144,0.68460894,1.9913445,68.07288,3.1471577,0.06517043,-2.955316,5000,0.7497543,1000,1000.0,1000,5,0.0,712.7717556543648,685.7053207792924,611.699023953639,5,37.68960760351093,3.3689644,0.08333182,-3.5332122,20000,0.7493084,1000,1000.0,1000,20,0.0,770.2632646802813,678.2715301614226,635.3444040867034,20,32.328970062163464,846.0,62.722644090652466,20000.0,38.0,2388.309878349304,760000.0,318.86410864781436,760000.0
8.315596,1.648441e-08,-0.08668108,0.68422574,1.9515882,68.33357,3.1999853,0.07735153,-3.0221756,5000,0.7481791,1000,1000.0,1000,5,0.0,723.0589018762112,697.5053776201792,665.0604378324933,5,22.961204627767238,3.1230145,0.07466295,-3.0504632,20000,0.74213344,1000,1000.0,1000,20,0.0,734.4545458275825,673.6587053619384,607.8903186460957,20,33.39350935726659,866.0,63.20332932472229,20000.0,39.0,2451.5642504692078,780000.0,316.43902645136296,780000.0
8.310251,2.2631138e-08,-0.04441269,0.6837696,1.7896527,69.07664,2.918328,0.052781794,-3.2909236,5000,0.7462005,1000,1000.0,1000,5,0.0,773.3426946587861,720.4309611291159,647.7825197877828,5,41.03461894060779,3.482286,0.07103485,-3.237935,20000,0.75348693,1000,1000.0,1000,20,0.0,743.4200915247202,692.4544146128435,655.0487106777728,20,24.31526619035754,886.0,62.74483394622803,20000.0,40.0,2514.3593373298645,800000.0,318.7513416186564,800000.0
